"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","18","75.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/02/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","20","83.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/03/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/04/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/05/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/06/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/07/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/08/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","20","83.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/09/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/10/2020","AQS","300310017","5","0.4","ppm","5","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/11/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/12/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/13/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","18","75.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/14/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","13","54.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/15/2020","AQS","300310017","5","0.2","ppm","2","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
"01/16/2020","AQS","300310017","5","0.3","ppm","3","West Yellowstone Park Ent #2","24","100.0000","42101","Carbon monoxide","14580","Bozeman, MT","30","Montana","031","Gallatin","44.657014","-111.089618"
