"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","18","75.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/02/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/03/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/04/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/05/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/06/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/07/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/08/2020","AQS","060831025","1","0.1","ppm","1","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/09/2020","AQS","060831025","1","0.1","ppm","1","Los Flores Canyon #1","19","79.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/10/2020","AQS","060831025","1","0.1","ppm","1","Los Flores Canyon #1","9","38.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/11/2020","AQS","060831025","1","0.1","ppm","1","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/12/2020","AQS","060831025","1","0.1","ppm","1","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/13/2020","AQS","060831025","1","0.1","ppm","1","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/14/2020","AQS","060831025","1","0.1","ppm","1","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/15/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","10","42.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/16/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/17/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/18/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","22","92.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/19/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/20/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/21/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/22/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/23/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","22","92.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/24/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/25/2020","AQS","060831025","1","0.3","ppm","3","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/26/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","23","96.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/27/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","15","63.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/28/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/29/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/30/2020","AQS","060831025","1","0.3","ppm","3","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"01/31/2020","AQS","060831025","1","0.3","ppm","3","Los Flores Canyon #1","24","100.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
"02/01/2020","AQS","060831025","1","0.2","ppm","2","Los Flores Canyon #1","2","8.0000","42101","Carbon monoxide","42200","Santa Maria-Santa Barbara, CA","06","California","083","Santa Barbara","34.489740000881","-120.04692"
