"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","210610501","1","0.1","ppm","1","Mammoth Cave NP - Houchin Meadow","19","79.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/02/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/03/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/04/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/05/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/06/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/07/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/08/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/09/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/10/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/11/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","17","71.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/12/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
"01/13/2020","AQS","210610501","1","0.2","ppm","2","Mammoth Cave NP - Houchin Meadow","24","100.0000","42101","Carbon monoxide","14540","Bowling Green, KY","21","Kentucky","061","Edmonson","37.13179","-86.142953"
