"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2020","AQS","230050029","1","0.2","ppm","2","PDO - Portland Deering Oaks","3","13.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/03/2020","AQS","230050029","1","0.6","ppm","7","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/04/2020","AQS","230050029","1","0.7","ppm","8","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/05/2020","AQS","230050029","1","0.2","ppm","2","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/06/2020","AQS","230050029","1","0.3","ppm","3","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/07/2020","AQS","230050029","1","0.5","ppm","6","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/08/2020","AQS","230050029","1","0.4","ppm","5","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/09/2020","AQS","230050029","1","0.3","ppm","3","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/10/2020","AQS","230050029","1","0.3","ppm","3","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/11/2020","AQS","230050029","1","0.3","ppm","3","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
"01/12/2020","AQS","230050029","1","0.2","ppm","2","PDO - Portland Deering Oaks","24","100.0000","42101","Carbon monoxide","38860","Portland-South Portland, ME","23","Maine","005","Cumberland","43.660246","-70.268965"
