"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","080013001","1","0.5","ppm","6","Welby","19","79.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/02/2020","AQS","080013001","1","0.5","ppm","6","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/03/2020","AQS","080013001","1","0.4","ppm","5","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/04/2020","AQS","080013001","1","0.4","ppm","5","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/05/2020","AQS","080013001","1","0.3","ppm","3","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/06/2020","AQS","080013001","1","0.3","ppm","3","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/07/2020","AQS","080013001","1","0.4","ppm","5","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/08/2020","AQS","080013001","1","0.5","ppm","6","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/09/2020","AQS","080013001","1","0.2","ppm","2","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/10/2020","AQS","080013001","1","0.3","ppm","3","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/11/2020","AQS","080013001","1","0.5","ppm","6","Welby","24","100.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/12/2020","AQS","080013001","1","0.4","ppm","5","Welby","19","79.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/13/2020","AQS","080013001","1","0.5","ppm","6","Welby","22","92.0000","42101","Carbon monoxide","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
