"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","17","71.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/02/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/03/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/04/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/05/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/06/2020","AQS","191630015","1","0.3","ppm","3","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/07/2020","AQS","191630015","1","0.3","ppm","3","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/08/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/09/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/10/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/11/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/12/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/13/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/14/2020","AQS","191630015","1","0.3","ppm","3","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/15/2020","AQS","191630015","1","0.3","ppm","3","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/16/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/17/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","15","63.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/18/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","20","83.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/19/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/20/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/21/2020","AQS","191630015","1","0.4","ppm","5","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/22/2020","AQS","191630015","1","0.2","ppm","2","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
"01/23/2020","AQS","191630015","1","0.3","ppm","3","DAVENPORT, JEFFERSON SCH.","24","100.0000","42101","Carbon monoxide","19340","Davenport-Moline-Rock Island, IA-IL","19","Iowa","163","Scott","41.5300106207475","-90.5876108140407"
